id,place_bounding_box_0_0,place_bounding_box_1_0,place_bounding_box_0_1,place_bounding_box_1_1
737977856437846016,-87.92086,-87.765512,30.575695,30.684177
737987897349963777,-98.778559,-98.302744,29.141956,29.693046
737993972103020544,-111.623646,-111.553599,40.728913,40.773321
738021673501265922,-87.940033,-87.523993,41.644102,42.023067
738029023943610369,-81.875891,-81.8339,27.202236,27.238453
738049656471588865,-74.026675,-73.910408,40.683935,40.877483
738081271751016449,-95.823268,-95.069705,29.522325,30.154665
738083111121096705,-106.645646,-93.508131,25.837092,36.500695
738087638490570752,-90.285434,-90.221258,29.969126,30.049577
738092944444542977,-73.244348,-73.153889,41.141738,41.229611
738103361782874112,-82.588866,-82.477281,27.293114,27.389129
738121095660883970,-90.285434,-90.221258,29.969126,30.049577
738122328375218176,-87.940033,-87.523993,41.644102,42.023067
738132119768027138,-80.630541,-80.517887,40.365366,40.450178
738138644007944192,-86.216235,-86.090052,41.621439,41.727645
738147149259497472,-93.207783,-93.003514,44.890752,44.992279
738347865353818116,-94.733122,-94.385441,38.868002,39.332095
738366369192890368,-82.421473,-82.239066,29.600496,29.745847
738378841450643456,-105.183643,-105.099812,39.939576,39.998224
738384559058755584,-95.586805,-95.431045,29.506247,29.642322
738393528095657985,-82.971635,-82.857441,40.080431,40.217545
738399404441239552,-117.282538,-116.92744,32.53962,33.080404
738400788179869696,-92.86315,-92.792838,45.035979,45.079582
738403692567625729,-117.2525151,-117.252515,32.7896729,32.789673
738437136811069440,-122.779239,-122.572978,38.396779,38.507656
738447854021292032,-69.832494,-69.735635,44.290196,44.363964
738490981876633600,-74.026675,-73.910408,40.683935,40.877483
738498142170058753,-91.218994,-90.962605,30.354161,30.564039
738541421251158016,-80.20811,-80.090235,26.080935,26.219801
738585460985888773,-76.871593,-76.79886,39.958427,40.005071
738601507541549056,-122.790065,-122.471751,45.421863,45.650941
738612102353412096,-117.92569,-117.857723,48.521547,48.564636
738685639877492736,-118.409579,-118.384866,33.85185,33.877823
738707029657833473,-87.940033,-87.523993,41.644102,42.023067
738710501530697728,-80.046503,-80.028685,40.383294,40.404217
738722922349481985,-122.34266,-122.114711,37.699279,37.884709
738740123597217793,-82.620093,-82.265295,27.821353,28.171836
738752538502012929,-111.921988,-111.823749,40.45236,40.544422
738778797907030016,-106.645646,-93.508131,25.837092,36.500695
738785990760861697,-84.576827,-84.289385,33.647503,33.886886
738795070468546560,-95.438435,-95.215364,29.497739,29.59803
738803103139540993,-95.679001,-95.397267,30.23105,30.443978
738806183331430400,-106.791691,-106.473745,35.015891,35.218114
738820306626826240,-80.389344,-80.304896,25.628844,25.715128
738868160951029761,-118.256783,-118.227672,33.943092,33.989716
738899632919482368,-98.295824,-98.195525,26.143437,26.337943
738940863578005504,-95.259478,-95.220339,29.759006,29.77434
738954160201043972,-97.095004,-97.044738,27.800207,27.841911
739076872902979584,-80.442024,-80.361426,26.062031,26.144693
739104525559042048,-122.104336,-122.049733,37.925263,37.98237
